price,price_m2,ads,date
299800,3376,https://www.nehnutelnosti.sk/4911794/4i-za-cenu-3i-87m2-usporny-2-loggie-bezbarierovy-komfortna-novostavba/,2022-12-07
195000,2534,https://www.nehnutelnosti.sk/4910073/3-izbovy-byt-s-uzasnym-vyhladom-na-predaj/,2022-12-07
206990,3280,https://www.nehnutelnosti.sk/4939324/pri-kupe-bytu-vianocny-darcek-klimatizacia-znacky-whirlpool/,2022-12-07
212000,2986,https://www.nehnutelnosti.sk/4927252/predame-3-izb-byt-71-m2-loggia-j-stanislava-pekny-vyhlad/,2022-12-07
219900,2933,https://www.nehnutelnosti.sk/4890849/predaj-slnecneho-2-izb-bytu-s-moznostou-prerabky-na-3-izb-byt-lamac/,2022-12-07
184000,2954,https://www.nehnutelnosti.sk/4928953/kompletne-zariadeny-3-izb-byt-v-dubravke/,2022-12-07
214900,3070,https://www.nehnutelnosti.sk/4907217/prijemny-3-iz-byt-v-pokojnej-lokalite-dubravky/,2022-12-07
178990,2841,https://www.nehnutelnosti.sk/4942762/predaj-trojizbovy-byt-bratislava-karlova-ves-karloveska/,2022-12-07
189000,3199,https://www.nehnutelnosti.sk/4918676/ponukame-na-predaj-3-izb-byt-s-krasnym-vyhladom-na-ulici-pod-zahradami-bratislava-dubravka/,2022-12-07
205000,3203,https://www.nehnutelnosti.sk/4873181/3-izbovy-byt-v-liscom-udoli-v-bratislave/,2022-12-07
245000,2917,https://www.nehnutelnosti.sk/4888648/4-izbovy-prerobeny-na-velkorysy-3izbovy-v-dubravke/,2022-12-07
349900,3683,https://www.nehnutelnosti.sk/4941985/3-izbovy-byt-v-dubravke/,2022-12-07
185000,2502,https://www.nehnutelnosti.sk/4920347/znalecky-posudok-k-bytu-3-izb-byt-kompletna-rek-nepriechodne-izby-zariadeny-ticha-lokalita/,2022-12-07
185000,3003,https://www.nehnutelnosti.sk/4887162/rezervovany-3-izb-byt-blizko-liscieho-udolia-karlova-ves-185000-eur/,2022-12-07
289990,3980,https://www.nehnutelnosti.sk/4938184/bosen-predaj-3-izboveho-bytu-s-terasou-dubravka/,2022-12-07
239990,2279,https://www.nehnutelnosti.sk/4885560/bosen-3-izbovy-byt-s-peknym-vyhladom-105-m2-dubravka/,2022-12-07
849000,5273,https://www.nehnutelnosti.sk/4770842/bosen-velkometrazny-3-izbovy-byt-s-terasou-a-zimnou-zahradou-martina-granca-dubravka-305m2/,2022-12-07
269990,3506,https://www.nehnutelnosti.sk/4866864/lamac-oblubena-disp-kompletna-rekonstrukcia/,2022-12-07
209900,3180,https://www.nehnutelnosti.sk/4930834/predaj-trojizbovy-byt-bratislava-karlova-ves-hlavacikova/,2022-12-07
299000,4397,https://www.nehnutelnosti.sk/4937877/xperia-ponuka-3-izbova-novostavba-v-mlynskej-doline/,2022-12-07
242000,3017,https://www.nehnutelnosti.sk/4846738/velky-svetly-3i-byt-s-cerstvou-kompletnou-rekonstrukciou-dubravka-janka-alexyho/,2022-12-07
204900,3013,https://www.nehnutelnosti.sk/4364321/3-izb-byt-ciastocna-rekonstrukcia-jamnickeho-ul/,2022-12-07
299000,5291,https://www.nehnutelnosti.sk/4672274/stylovo-zariadeny-2-5-izbovy-byt-na-najvyssom-poschodi-s-velkou-terasou-a-nadhernym-vyhladom-v-cubic/,2022-12-07
200000,2597,https://www.nehnutelnosti.sk/4924815/ponukame-na-predaj-3-izbovy-byt-huscavova-bratislava-dubravka/,2022-12-07
240000,3468,https://www.nehnutelnosti.sk/4939187/jedine-u-nas-stylovy-3i-byt-rekonstrukcia-3-x-nepriech-izba-klima-loggia-jamnickeho-ulica/,2022-12-07
227900,2960,https://www.nehnutelnosti.sk/4928793/priestranny-slnecny-3-izb-byt-po-rekonstrukcii-s-velkou-loggiou-kompletne-zariadeny-skvela-dostup/,2022-12-07
215000,3583,https://www.nehnutelnosti.sk/4876407/kompletna-rekonstrukcia-3-izb-byt-v-prirode-pupavova-karlova-ves/,2022-12-07
179000,2841,https://www.nehnutelnosti.sk/4930451/cenovo-dostupny-3-izb-byt-karloveska-karlova-ves/,2022-12-07
216000,3429,https://www.nehnutelnosti.sk/4940576/3-izbovy-byt-po-kompletnej-rekonstrukcii/,2022-12-07
240000,3730,https://www.nehnutelnosti.sk/4935215/predaj-3-izboveho-bytu-s-priestrannou-loggiou/,2022-12-07
199000,2689,https://www.nehnutelnosti.sk/4925851/3-izbovy-byt-v-povodnom-stave-ba-karlova-ves/,2022-12-07
225000,3082,https://www.nehnutelnosti.sk/4925315/zrekonstruovany-3-izbovy-byt-v-oplotenom-areali/,2022-12-07
244000,2871,https://www.nehnutelnosti.sk/4814956/zariadeny-3-izbovy-byt-po-kompletnej-rekonstrukcii-s-priestrannou-loggiou-v-bratislave-lamac/,2022-12-07
210000,3134,https://www.nehnutelnosti.sk/4944518/predaj-3-izbovy-byt-v-ba-iv-ulica-koprivnicka/,2022-12-07
235000,3133,https://www.nehnutelnosti.sk/4865873/predame-slnecny-3-izbovy-byt-bratislava-lamac-ulica-na-barine/,2022-12-07
378699,4208,https://www.nehnutelnosti.sk/4899908/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
413870,5224,https://www.nehnutelnosti.sk/4766558/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
487580,4221,https://www.nehnutelnosti.sk/4766557/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
466580,4402,https://www.nehnutelnosti.sk/4764147/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
403500,4429,https://www.nehnutelnosti.sk/4764516/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
413870,4858,https://www.nehnutelnosti.sk/4745982/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
456100,4184,https://www.nehnutelnosti.sk/4743430/3d-prehliadka-predaj-3-izb-v-novostavbe-stare-grunty-ba-iv/,2022-12-07
230000,3347,https://www.nehnutelnosti.sk/4938340/predaj-3-izbovy-byt-s-loggiou-a-balkonom-j-stanislava-dlhe-diely/,2022-12-07
175500,3026,https://www.nehnutelnosti.sk/4690039/3-izbovy-byt-v-bratislave-v-mestskej-casti-dubravka/,2022-12-07
279000,3811,https://www.nehnutelnosti.sk/4921416/pekny-3-izbovy-byt-s-loggiou-a-vyhladom-na-kralovu-horu/,2022-12-07
235000,3133,https://www.nehnutelnosti.sk/4921410/3-izbovy-byt-vo-vybornej-lokalite-na-zaciatku-dubravky-lipskeho-ul-v-oplotenom-dvore-so-zahradou/,2022-12-07
183000,2542,https://www.nehnutelnosti.sk/4944379/predaj-3izbovy-byt-ludovita-fullu/,2022-12-07
214900,2865,https://www.nehnutelnosti.sk/4932818/dom-realit-ponuka-velky-3-izbovy-byt-na-ulici-jamnickeho-dlhe-diely/,2022-12-07
214000,3147,https://www.nehnutelnosti.sk/4913001/dom-realit-3-izbovy-byt-so-ziadanou-dispoziciou-bilikova-ulica/,2022-12-07
159000,2741,https://www.nehnutelnosti.sk/4848630/dom-realit-ponuka-3-izbovy-byt-v-novostavbe-v-dubravke-na-ulici-agatova/,2022-12-07
234900,3677,https://www.nehnutelnosti.sk/4943195/predaj-3-izb-byt-loggia-bratislava-karlova-ves-pupavova-ul/,2022-12-07
229900,3537,https://www.nehnutelnosti.sk/4930654/predaj-3-izbovy-byt-kompletna-rekonstrukcia-lackova-ulica-ba-iv/,2022-12-07
210000,2838,https://www.nehnutelnosti.sk/4937283/3-izbovy-byt-vo-vyhladavanej-lokalite-bratislava-karlova-ves/,2022-12-07
239900,3454,https://www.nehnutelnosti.sk/4943188/na-predaj-3izb-byt-loggia-bratislava-dubravka-ul-drobneho/,2022-12-07
242000,3017,https://www.nehnutelnosti.sk/4944101/3i-byt-s-cerstvou-kompletnou-rekonstrukciou-dubravka-janka-alexyho/,2022-12-07
226000,3424,https://www.nehnutelnosti.sk/4944083/na-predaj-pekny-zariadeny-3-izbovy-byt-s-balkonom-na-segnerovej-ulici-v-bratislave-cast-karlova-ves/,2022-12-07
209900,2999,https://www.nehnutelnosti.sk/4944081/ponukame-vam-na-predaj-3-izbovy-byt-bratislava-karlova-ves-hlavacikova-ul/,2022-12-07
222000,3041,https://www.nehnutelnosti.sk/4887590/comfort-living-ponuka-zrekonstruovany-3-izbovy-byt-s-vyhladom/,2022-12-07
217800,2775,https://www.nehnutelnosti.sk/4876905/na-predaj-3-izbovy-byt-78-48-m2-2x-loggia-bratislava-dubravka-hanulova-ulica/,2022-12-07
205000,2847,https://www.nehnutelnosti.sk/4880710/3i-byt-na-majernikovej-ulici-v-karlovej-vsi/,2022-12-07
384000,3959,https://www.nehnutelnosti.sk/4602983/villa-rustica-terasy-predaj-3-izbovy-byt-kvalitny-standard-dubravka-parking/,2022-12-07
222000,3041,https://www.nehnutelnosti.sk/4887505/graft-ponuka-3-izb-byt-jamnickeho-ul-dlhe-diely/,2022-12-07
